gid,entidad,geom,fna,gna,nam,fdc,sag
33247,1,POINT(-58.3901027759999 -34.798585927),Universidad Pedagógica Nacional Extensión Áulica Adrogué,Universidad,Pedagógica Nacional Extensión Áulica Adrogué,Ministerio del Interior,IGN
33248,1,POINT(-58.372097341 -34.6629695949999),Universidad Nacional de Avellaneda Sede España,Universidad Nacional,de Avellaneda Sede España,Ministerio del Interior,IGN
33249,1,POINT(-58.3982100709999 -34.6685876289999),Universidad Nacional de Avellaneda Sede Piñeyro,Universidad Nacional,de Avellaneda Sede Piñeyro,Ministerio del Interior,IGN
33250,1,POINT(-58.355724691 -34.660676103),Universidad Nacional de Avellaneda Sede 12 de Octubre,Universidad Nacional,de Avellaneda Sede 12 de Octubre,Ministerio del Interior,IGN
33252,1,POINT(-58.370764342 -34.6663510229999),Universidad Nacional de Avellaneda Sede Constitución,Universidad Nacional,de Avellaneda Sede Constitución,Ministerio del Interior,IGN
33253,1,POINT(-58.2679158999999 -34.7751473),Universidad Nacional Arturo Jauretche,Universidad Nacional,Arturo Jauretche,Ministerio del Interior,IGN
33254,1,POINT(-58.271383521 -34.773119239),Universidad Nacional Arturo Jauretche Sede Hospital El Cruce,Universidad Nacional,Arturo Jauretche Sede Hospital El Cruce,Ministerio del Interior,IGN
33255,1,POINT(-58.2192476 -34.755521878),Universidad Nacional Arturo Jauretche Centro Universitario Berazategui,Universidad Nacional,Arturo Jauretche Centro Universitario Berazategui,Ministerio del Interior,IGN
33256,1,POINT(-57.807619678 -36.09182871),Universidad Nacional Arturo Jauretche Sede Castelli,Universidad Nacional,Arturo Jauretche Sede Castelli,Ministerio del Interior,IGN
33257,1,POINT(-59.096981904 -35.192526554),Universidad Nacional Arturo Jauretche Sede Lobos,Universidad Nacional,Arturo Jauretche Sede Lobos,Ministerio del Interior,IGN
33260,1,POINT(-58.700529063 -34.673442178),Universidad Nacional del Oeste Escuela de Administración,Universidad Nacional,del Oeste Escuela de Administración,Ministerio del Interior,IGN
33261,1,POINT(-58.733869464 -34.6643004819999),Universidad Nacional del Oeste Escuela de Ciencias de la Salud,Universidad Nacional,del Oeste Escuela de Ciencias de la Salud,Ministerio del Interior,IGN
33262,1,POINT(-58.7263881 -34.6748148),Universidad Nacional del Oeste Escuela de Informática,Universidad Nacional,del Oeste Escuela de Informática,Ministerio del Interior,IGN
33263,1,POINT(-58.7013699 -34.6735207909999),Universidad Nacional del Oeste Escuela de Humanidades,Universidad Nacional,del Oeste Escuela de Humanidades,Ministerio del Interior,IGN
33264,1,POINT(-58.7335841459999 -34.6640947769999),Universidad Nacional del Oeste Escuela de Ingeniería,Universidad Nacional,del Oeste Escuela de Ingeniería,Ministerio del Interior,IGN
33265,1,POINT(-58.6369048999999 -34.6182481),Universidad Nacional de Hurlingham Sede Origone,Universidad Nacional,de Hurlingham Sede Origone,Ministerio del Interior,IGN
33266,1,POINT(-58.634425493 -34.616518261),Universidad Nacional de Hurlingham Sede Vergara,Universidad Nacional,de Hurlingham Sede Vergara,Ministerio del Interior,IGN
33267,1,POINT(-59.479634824 -34.2573650909999),Universidad Nacional de San Antonio de Areco,Universidad Nacional,de San Antonio de Areco,Ministerio del Interior,IGN
33268,1,POINT(-62.409628455 -37.6066082949999),Universidad Provincial del Sudoeste Sede Central,Universidad Provincial,del Sudoeste Sede Central,Ministerio del Interior,IGN
33269,1,POINT(-63.153858 -36.272481),Universidad Provincial del Sudoeste Sede Pellegrini,Universidad Provincial,del Sudoeste Sede Pellegrini,Ministerio del Interior,IGN
33270,1,POINT(-62.9644139 -36.7546445999999),Universidad Provincial del Sudoeste Sede Salliqueló,Universidad Provincial,del Sudoeste Sede Salliqueló,Ministerio del Interior,IGN
33271,1,POINT(-61.259891742 -37.247192088),Universidad Provincial del Sudoeste Sede La Madrid,Universidad Provincial,del Sudoeste Sede La Madrid,Ministerio del Interior,IGN
33272,1,POINT(-61.746604433 -36.602517754),Universidad Provincial del Sudoeste Subsede Daireaux,Universidad Provincial,del Sudoeste Subsede Daireaux,Ministerio del Interior,IGN
33273,1,POINT(-62.7636560999999 -37.1757370999999),Universidad Provincial del Sudoeste Subsede Carhué,Universidad Provincial,del Sudoeste Subsede Carhué,Ministerio del Interior,IGN
33274,1,POINT(-62.767129886 -37.543412264),Universidad Provincial del Sudoeste Sede Puán,Universidad Provincial,del Sudoeste Sede Puán,Ministerio del Interior,IGN
33275,1,POINT(-60.801540181 -37.546409399),Universidad Provincial del Sudoeste Sede Laprida,Universidad Provincial,del Sudoeste Sede Laprida,Ministerio del Interior,IGN
33276,1,POINT(-61.929635084 -37.458733132),Universidad Provincial del Sudoeste Sede Coronel Suárez,Universidad Provincial,del Sudoeste Sede Coronel Suárez,Ministerio del Interior,IGN
33277,1,POINT(-61.3570265 -37.9844082),Universidad Provincial del Sudoeste Subsede Coronel Pringles,Universidad Provincial,del Sudoeste Subsede Coronel Pringles,Ministerio del Interior,IGN
33278,1,POINT(-61.291740331 -38.718969757),Universidad Provincial del Sudoeste Sede Coronel Dorrego,Universidad Provincial,del Sudoeste Sede Coronel Dorrego,Ministerio del Interior,IGN
33279,1,POINT(-62.225274794 -38.1014431999999),Universidad Provincial del Sudoeste Subsede Tornquist,Universidad Provincial,del Sudoeste Subsede Tornquist,Ministerio del Interior,IGN
33280,1,POINT(-62.07276102 -38.8823385809999),Universidad Provincial del Sudoeste Sede Punta Alta,Universidad Provincial,del Sudoeste Sede Punta Alta,Ministerio del Interior,IGN
33281,1,POINT(-61.287835447 -38.988491412),Universidad Provincial del Sudoeste Subsede Monte Hermoso,Universidad Provincial,del Sudoeste Subsede Monte Hermoso,Ministerio del Interior,IGN
33282,1,POINT(-62.6946748 -38.8255303999999),Universidad Provincial del Sudoeste Sede Médanos,Universidad Provincial,del Sudoeste Sede Médanos,Ministerio del Interior,IGN
33283,1,POINT(-62.9776275999999 -40.7949694),Universidad Provincial del Sudoeste Sede Carmen de Patagones,Universidad Provincial,del Sudoeste Sede Carmen de Patagones,Ministerio del Interior,IGN
33284,1,POINT(-60.950122936 -34.5852349359999),Universidad Nacional Noroeste Sede Junín,Universidad Nacional,Noroeste Sede Junín,Ministerio del Interior,IGN
33285,1,POINT(-60.5889805269999 -33.913303812),Universidad Nacional Noroeste Sede Pergamino,Universidad Nacional,Noroeste Sede Pergamino,Ministerio del Interior,IGN
33286,1,POINT(-58.3833109999999 -34.8367815999999),Universidad Nacional Guillermo Brown,Universidad Nacional,Guillermo Brown,Ministerio del Interior,IGN
33287,1,POINT(-58.3766396 -34.6051208),Universidad de la Defensa Nacional,Universidad,de la Defensa Nacional,Ministerio del Interior,IGN
33288,1,POINT(-58.399684201 -34.5947705999999),Universidad Nacional de las Artes,Universidad Nacional,de las Artes,Ministerio del Interior,IGN
33289,1,POINT(-58.3722862 -34.6278217),Universidad Nacional de las Artes Área Transdepartamental de Formación Docente,Universidad Nacional,de las Artes Área Transdepartamental de Formación Docente,Ministerio del Interior,IGN
33290,1,POINT(-58.4226335 -34.5991596),Universidad Nacional de las Artes Departamento de Artes Audiovisuales,Universidad Nacional,de las Artes Departamento de Artes Audiovisuales,Ministerio del Interior,IGN
33291,1,POINT(-58.412963018 -34.614622577),Universidad Nacional de las Artes Departamento de Artes del Movimiento y Folklore,Universidad Nacional,de las Artes Departamento de Artes del Movimiento y Folklore,Ministerio del Interior,IGN
33292,1,POINT(-58.4119412209999 -34.583184344),Universidad Nacional de las Artes Departamento de Artes Dramáticas Antonio Cunill Cabanellas,Universidad Nacional,de las Artes Departamento de Artes Dramáticas Antonio Cunill Cabanellas,Ministerio del Interior,IGN
33293,1,POINT(-58.3932830329999 -34.6009200829999),Universidad Nacional de las Artes Área Transdepartamental de Artes Multimediales,Universidad Nacional,de las Artes Área Transdepartamental de Artes Multimediales,Ministerio del Interior,IGN
33294,1,POINT(-58.4016492 -34.5992019),Universidad Nacional de las Artes Departamento de Artes Musicales y Sonoras Carlos López Buchardo,Universidad Nacional,de las Artes Departamento de Artes Musicales y Sonoras Carlos López Buchardo,Ministerio del Interior,IGN
33295,1,POINT(-58.391238163 -34.592192273),Universidad Nacional de las Artes Departamento de Artes Visuales Sede Las Heras,Universidad Nacional,de las Artes Departamento de Artes Visuales Sede Las Heras,Ministerio del Interior,IGN
33296,1,POINT(-58.39302206 -34.607906252),Universidad Nacional de las Artes Área Transdepartamental Crítica de Artes,Universidad Nacional,de las Artes Área Transdepartamental Crítica de Artes,Ministerio del Interior,IGN
33297,1,POINT(-58.3652738709999 -34.6242147569999),Universidad Nacional de las Artes Departamento de Artes Visuales Sede Ingeniero Huergo,Universidad Nacional,de las Artes Departamento de Artes Visuales Sede Ingeniero Huergo,Ministerio del Interior,IGN
33322,1,POINT(-58.3969759999999 -34.608374),Universidad Kennedy Sede Bartolomé Mitre,Universidad,Kennedy Sede Bartolomé Mitre,Ministerio del Interior,IGN
33298,1,POINT(-58.3695694639999 -34.636906031),Universidad Nacional de las Artes Departamento de Artes Visuales Sede Benito Quinquela Martín,Universidad Nacional,de las Artes Departamento de Artes Visuales Sede Benito Quinquela Martín,Ministerio del Interior,IGN
33299,1,POINT(-58.5614765 -34.4409421),Universidad Nacional de las Artes Departamento de Artes Visuales Sede Xul Solar,Universidad Nacional,de las Artes Departamento de Artes Visuales Sede Xul Solar,Ministerio del Interior,IGN
33300,1,POINT(-58.376352454 -34.609052968),Universidad Abierta Interamericana Rectorado,Universidad,Abierta Interamericana Rectorado,Ministerio del Interior,IGN
33301,1,POINT(-58.425675 -34.602032),Universidad Abierta Interamericana Sede Almagro,Universidad,Abierta Interamericana Sede Almagro,Ministerio del Interior,IGN
33302,1,POINT(-58.45386712 -34.551455655),Universidad Abierta Interamericana Sede Belgrano,Universidad,Abierta Interamericana Sede Belgrano,Ministerio del Interior,IGN
33303,1,POINT(-58.204936897 -34.759799513),Universidad Abierta Interamericana Sede Berazategui,Universidad,Abierta Interamericana Sede Berazategui,Ministerio del Interior,IGN
33304,1,POINT(-58.6574841149999 -34.6487414499999),Universidad Abierta Interamericana Sede Castelar,Universidad,Abierta Interamericana Sede Castelar,Ministerio del Interior,IGN
33305,1,POINT(-58.3793237359999 -34.6219346399999),Universidad Abierta Interamericana Sede Centro,Universidad,Abierta Interamericana Sede Centro,Ministerio del Interior,IGN
33306,1,POINT(-58.6718238459999 -34.6559992589999),Universidad Abierta Interamericana Sede Ituzaingó I,Universidad,Abierta Interamericana Sede Ituzaingó I,Ministerio del Interior,IGN
33307,1,POINT(-58.6620165529999 -34.659336207),Universidad Abierta Interamericana Sede Ituzaingó II,Universidad,Abierta Interamericana Sede Ituzaingó II,Ministerio del Interior,IGN
33308,1,POINT(-58.5739618069999 -34.503500125),Universidad Abierta Interamericana Sede San Isidro,Universidad,Abierta Interamericana Sede San Isidro,Ministerio del Interior,IGN
33309,1,POINT(-58.405214711 -34.7720239029999),Universidad Abierta Interamericana Sede Sur,Universidad,Abierta Interamericana Sede Sur,Ministerio del Interior,IGN
33310,1,POINT(-58.56740705 -34.426793646),Universidad Abierta Interamericana Sede Centro Universitario de Tigre,Universidad,Abierta Interamericana Sede Centro Universitario de Tigre,Ministerio del Interior,IGN
33311,1,POINT(-60.66212 -32.944113),Universidad Abierta Interamericana Sede Ovidio Lagos,Universidad,Abierta Interamericana Sede Ovidio Lagos,Ministerio del Interior,IGN
33312,1,POINT(-60.6527629999999 -32.955414),Universidad Abierta Interamericana Sede Pellegrini,Universidad,Abierta Interamericana Sede Pellegrini,Ministerio del Interior,IGN
33313,1,POINT(-60.648196516 -32.955698062),Universidad Abierta Interamericana Sede Roca,Universidad,Abierta Interamericana Sede Roca,Ministerio del Interior,IGN
33314,1,POINT(-60.219307997 -33.336439745),Universidad Abierta Interamericana Sede San Nicolás,Universidad,Abierta Interamericana Sede San Nicolás,Ministerio del Interior,IGN
33315,1,POINT(-60.464164528 -32.0755712439999),Universidad Adventista del Plata,Universidad,Adventista del Plata,Ministerio del Interior,IGN
33316,1,POINT(-58.3817769999999 -34.617355),Fundación Universidad Argentina de la Empresa Sede Central,,Fundación Universidad Argentina de la Empresa Sede Central,Ministerio del Interior,IGN
33317,1,POINT(-58.384448 -34.592081),Fundación Universidad Argentina de la Empresa Sede Recoleta,,Fundación Universidad Argentina de la Empresa Sede Recoleta,Ministerio del Interior,IGN
33318,1,POINT(-58.3864829999999 -34.607567),Universidad Kennedy Sede Central,Universidad,Kennedy Sede Central,Ministerio del Interior,IGN
33319,1,POINT(-58.532494 -34.5082009999999),Universidad Kennedy Sede San Isidro Labrador,Universidad,Kennedy Sede San Isidro Labrador,Ministerio del Interior,IGN
33320,1,POINT(-58.39178 -34.7088899999999),Universidad Kennedy Sede Lanús,Universidad,Kennedy Sede Lanús,Ministerio del Interior,IGN
33321,1,POINT(-58.373011 -34.621504),Universidad Kennedy Sede Bolívar,Universidad,Kennedy Sede Bolívar,Ministerio del Interior,IGN
33325,1,POINT(-58.429788 -34.604094),Universidad Kennedy Sede Sarmiento,Universidad,Kennedy Sede Sarmiento,Ministerio del Interior,IGN
33326,1,POINT(-58.374223 -34.6215369999999),Universidad Kennedy Sede San Juan,Universidad,Kennedy Sede San Juan,Ministerio del Interior,IGN
33327,1,POINT(-58.4116519999999 -34.6099809999999),Universidad Kennedy Sede Anchorena,Universidad,Kennedy Sede Anchorena,Ministerio del Interior,IGN
33328,1,POINT(-58.385262 -34.6198949999999),Universidad Kennedy Sede Carlos Calvo,Universidad,Kennedy Sede Carlos Calvo,Ministerio del Interior,IGN
33329,1,POINT(-58.4250289999999 -34.595876),Universidad Kennedy Sede Neuquén,Universidad,Kennedy Sede Neuquén,Ministerio del Interior,IGN
33330,1,POINT(-58.3935769999999 -34.607542),Universidad Kennedy Sede Riobamba,Universidad,Kennedy Sede Riobamba,Ministerio del Interior,IGN
33331,1,POINT(-56.678950368 -36.726027625),Universidad Atlántida Argentina Sede Central,Universidad,Atlántida Argentina Sede Central,Ministerio del Interior,IGN
33332,1,POINT(-57.678118341 -36.316964061),Universidad Atlántida Argentina Sede Dolores,Universidad,Atlántida Argentina Sede Dolores,Ministerio del Interior,IGN
33333,1,POINT(-57.546530214 -38.011402341),Universidad Atlántida Argentina Sede Mar del Plata,Universidad,Atlántida Argentina Sede Mar del Plata,Ministerio del Interior,IGN
33334,1,POINT(-58.3831862759999 -34.593440624),Universidad Austral Sede Buenos Aires,Universidad,Austral Sede Buenos Aires,Ministerio del Interior,IGN
33335,1,POINT(-58.394338338 -34.601956679),Universidad Austral Sede Buenos Aires II,Universidad,Austral Sede Buenos Aires II,Ministerio del Interior,IGN
33336,1,POINT(-58.858979 -34.456562),Universidad Austral Sede Campus Pilar,Universidad,Austral Sede Campus Pilar,Ministerio del Interior,IGN
33337,1,POINT(-60.647412389 -32.959184474),Universidad Austral Sede Rosario,Universidad,Austral Sede Rosario,Ministerio del Interior,IGN
33338,1,POINT(-64.2568867969999 -31.3386812909999),Universidad Blas Pascal,Universidad,Blas Pascal,Ministerio del Interior,IGN
33339,1,POINT(-58.3788154 -34.608979736),Universidad CAECE Sede Avenida de Mayo,Universidad,CAECE Sede Avenida de Mayo,Ministerio del Interior,IGN
33340,1,POINT(-57.539645321 -38.011782008),Universidad CAECE Sede Mar del Plata,Universidad,CAECE Sede Mar del Plata,Ministerio del Interior,IGN
33341,1,POINT(-58.365943606 -34.613110971),Universidad Católica Argentina Sede Buenos Aires,Universidad Católica,Argentina Sede Buenos Aires,Ministerio del Interior,IGN
33342,1,POINT(-60.530549854 -31.7289955919999),Universidad Católica Argentina Sede Paraná,Universidad Católica,Argentina Sede Paraná,Ministerio del Interior,IGN
33343,1,POINT(-60.67129556 -32.9515915389999),Universidad Católica Argentina Sede Rosario,Universidad Católica,Argentina Sede Rosario,Ministerio del Interior,IGN
33344,1,POINT(-68.852462815 -32.933735734),Universidad Católica Argentina Sede Mendoza,Universidad Católica,Argentina Sede Mendoza,Ministerio del Interior,IGN
33345,1,POINT(-64.186947 -31.419428),Universidad Católica de Córdoba Sede Centro,Universidad Católica,de Córdoba Sede Centro,Ministerio del Interior,IGN
